คุณภาพน้ำทะเล,ชายฝั่งทะเล,ปี,จำนวน
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2551,5.3 - 6.81
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2552,5.64 - 6.59
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2553,3.70-5.74
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2554,3.97 - 5.53
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2555,5.19-6.42
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2556,3.68-4.61
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2557,5.81 - 6.59
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2558,4.26 - 5.41
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2541,5.3 - 6.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2542,6.4 - 6.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2543,6.0 - 6.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2544,3.6 - 4.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2545,         6.6 - 7.1
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2546,6.1
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2547,6.2-8.3
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2548,8.3 - 8.5
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2549,6.2 - 6.9
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2550,6.3 - 8.0
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2551,6.2 - 6.85
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2552,5.55 - 7.21
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2553,3.73-6.43
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2554,5.05 - 5.60
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2555,4.48-5.77
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2556,-
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2557,5.31 - 6.55
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดจอมเทียน,2558,4.72 - 4.79
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2541,5.5 - 8.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2542,6.4 - 7.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2543,5.2 - 7.5
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2544,3.2 - 8.3
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2545,7.2
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2546,6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2547,6.5-7.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2548,8.4 - 8.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2549,6.8 - 8.5
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2550,6.7 - 6.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2551,5.54 - 6.69
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2552,5.15 - 7.02
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2553,4.75-6.85
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2554,4.58 - 8.10
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2555,-
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2556,-
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2557,2.38 - 8.45
ปริมาณออกซิเจนละลายน้ำมก./ล.,    มาบตาพุด,2558,5.45 - 6.12
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2541,3.5 - 5.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2542,5.4 - 13.1
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2543,4.1 - 8.1
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2544,2.7 - 6.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2545,         6.4 - 6.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2546,6.1
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2547,6.0-7.1
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2548,6.3 - 8.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2549,6.3 - 7.6
